TF	target	importance
RXRA	ANGPTL3	1.8970648566853257
PPARA	SMAD3	1.8965296827501792
MLXIPL	LEPR	1.896482893251704
CTNNB1	NFE2L2	1.8930741203453354
CREB1	IFI44L	1.8904551671600627
MLXIPL	LRRC7	1.8844948306223956
CEBPA	HSD17B7	1.883601899736703
CEBPA	DNAJC6	1.8805008956097742
HNF1B	SP3	1.8804768813171255
CREB1	PBX1	1.8772573689198295
CREB1	PPARG	1.8668800666257934
PBX1	VTCN1	1.8668700172502946
SMAD2	AL136234.1	1.8630251759261172
STAT3	GATA6	1.8618553212688758
HNF1B	STAT3	1.8614137291225132
NFE2L2	KCNAB2	1.86047910379342
SP1	PTGFR	1.8604398640438014
TCF7L2	TBX15	1.8580884886928668
NFE2L2	FHAD1	1.8575024923337538
PPARG	KCNAB2	1.8528825446967934
PBX1	TEAD1	1.8496516440872524
CREB1	PRAMEF33	1.8457863436141522
FOXA3	CLCA4-AS1	1.845280615736829
SOX4	SCP2	1.844998038314689
NR5A2	ATF2	1.8449298746556166
STAT3	CTH	1.8429703918332039
CREB1	NFIA-AS2	1.8420212069833288
CTNNB1	PTGFR	1.8401997997689954
KLF6	GBP1	1.8364680244229774
SMAD3	MAB21L3	1.8352699833416843
HNF4A	HSPA6	1.833726190914953
KLF6	LINC02798	1.8324204077814013
NR1H4	LRRIQ3	1.8294591989750404
ATF5	GATA4	1.8290542459590875
NR5A2	APOA2	1.8241943915759415
PPARA	SMAD2	1.8206800440143223
NR5A2	TTLL7	1.8180613416711633
PBX1	GATA4	1.8165804159182635
NR5A2	HSD17B7	1.8165105842916134
FOXA2	SLC25A33	1.8154860034329101
ATF5	RAB3B	1.8144404534404361
GADD45A	DPYD-AS1	1.8086598094145028
NR1H4	FHAD1	1.8085598258680038
JUN	RIT1	1.8079649881794593
SMAD3	ROR1	1.8066975193070829
CTNNB1	SOX4	1.8066901340899544
ATF5	FOXA3	1.8042742104686773
RXRA	PTGFR	1.8003071740749907
MYC	CTNNB1	1.80007107465581
PRDM16	VTCN1	1.7972155515879713
PRKAA2	AL136234.1	1.7955451427247562
HNF4A	ADGRL2	1.7880887597885151
MAFG	AL033530.1	1.7854093477244268
MYC	HSPA6	1.7837448189920888
MAFK	AL138799.4	1.7835627825809528
HNF4A	E2F3	1.7806345305367406
SOX4	VTCN1	1.7797787046595495
CTNNB1	SP1	1.7726121169391496
PRDM16	LRRC7	1.7716763696420108
HNF4A	CLCA4-AS1	1.7702034799913946
PPARA	ZRANB2-AS2	1.7678732989960562
ATF5	SMAD3	1.7678621622870534
MAFK	PRKAA2	1.7612628164886588
SP3	CCDC30	1.7604205561596813
GADD45A	RASAL2	1.7590305150508925
GADD45A	TGFBR3	1.7575800822770715
GATA4	PDE4B	1.7547802666967915
TEAD1	FOXA1	1.7545563039072831
HNF1B	SLC44A3	1.748302487325516
MYC	LINC02606	1.744543353792979
FOXJ3	NR5A2	1.742906295000693
SMAD3	AL139294.1	1.741742000521355
HNF4A	UAP1	1.7411439704765346
CEBPA	JUN	1.7399513621439309
TCF7L2	GBP5	1.738824469323874
HNF1B	MYOCOS	1.737701324511205
ATF5	DNM3	1.7374073619769863
CEBPB	CTNNB1	1.7373457939333703
MLXIPL	PRAMEF10	1.7372146180165309
HNF1B	FOXJ3	1.7352559549901574
SP1	CEBPB	1.7345427412980725
JUN	LEPR	1.7339615531163692
NR5A2	AL139294.1	1.7333037789847527
CEBPA	MYC	1.7297698020339363
NR5A2	GNG12-AS1	1.7297273662020372
TEAD1	AC104459.1	1.729615515958457
ATF3	AGBL4	1.7293447693997612
TCF7L2	DNAJB4	1.7242291857368972
NR5A2	SP3	1.7229655327351985
TCF7L2	CEBPA	1.7209909060611448
TEAD1	AL139294.1	1.7208354032763182
FOXJ3	AC104459.1	1.7206382713789543
PPARA	CTNNB1	1.719951164621613
MLXIPL	KCNAB2	1.7191593060874997
CTNNB1	MAN1C1	1.7191369543380284
PBX1	SORT1	1.7184912891691706
RXRA	IL12RB2	1.7156450772394238
FOXJ3	SUCO	1.7154573391406998
PPARA	CTH	1.7136257436838345
NR5A2	HNF4A	1.7135307229604146
PRKAA2	LINC01708	1.7134452651081273
FOXJ3	RASAL2	1.7132657429683447
NFE2L2	LINC02798	1.7114816091648672
HNF1A	TEAD4	1.7109364993142913
NFE2L2	IFI44L	1.7103987803091885
MAFK	GNG12-AS1	1.7066763936497036
CREB1	ZYG11A	1.7064023888477244
CEBPB	CACHD1	1.705021910087379
NFE2L2	MLXIPL	1.7006401697206885
TCF7L2	LINC02607	1.7001833570990734
MAFK	GBP5	1.692259476973607
TCF7L2	WLS	1.6910691711927779
FOXJ3	GADD45A	1.6910124794434642
RUNX3	WLS	1.690690230320922
PBX1	SOX9	1.6850579364500542
RXRA	CACHD1	1.6836063535340449
RXRA	PLPP3	1.6829769582277931
TEAD1	RIT1	1.6825204538333645
MLXIPL	AC104170.1	1.6815192760551219
FOXJ3	ZYG11A	1.679475907266827
SMAD2	CTH	1.6774427303174915
HNF1A	E2F3	1.6752035925599342
RXRB	IL12RB2	1.6740260684052775
NFE2L2	LEPR	1.6739432566848889
PRDM16	SOX9	1.6723749174253935
NFE2L2	MAN1C1	1.6702627763449962
NR5A2	TCF7L2	1.6663978145818539
KLF6	MAB21L3	1.664559008761177
PPARA	PAPPA2	1.6634458662230074
JUN	LRRIQ3	1.6595116332956912
CREB1	AL591043.2	1.658778744902248
PPARG	ZSWIM5	1.6572812750712214
TEAD1	NR5A2	1.6562452114087634
